x,y,T,u,v,p
3,0,300,0.0945498,0.000935284,0.55613
3,0.1,300,0.389794,0.00976567,0.557377
3,0.2,300,0.674116,0.0297256,0.556486
3,0.3,300,0.804405,0.0513525,0.552387
3,0.4,300,0.849743,0.0717973,0.545414
3,0.5,300,0.867126,0.0906998,0.536125
3,0.6,300,0.878968,0.108086,0.524881
3,0.7,300,0.891027,0.123832,0.511946
3,0.8,300,0.904238,0.137738,0.497585
3,0.9,300,0.918499,0.149627,0.482094
3,1,300,0.933519,0.159372,0.465801
3,1.1,300,0.948971,0.166922,0.449042
3,1.2,300,0.964527,0.172296,0.432153
3,1.3,300,0.979886,0.175581,0.415442
3,1.4,300,0.994782,0.176922,0.399179
3,1.5,300,1.009,0.176503,0.383586
3,1.6,300,1.02235,0.17454,0.368833
3,1.7,300,1.03475,0.17126,0.355037
3,1.8,300,1.04612,0.166887,0.342267
3,1.9,300,1.05644,0.161638,0.330549
3,2,300,1.06572,0.155711,0.319878
3,2.1,300,1.07399,0.149279,0.310221
3,2.2,300,1.08131,0.142497,0.301529
3,2.3,300,1.08776,0.135493,0.29374
3,2.4,300,1.09339,0.128375,0.286784
3,2.5,300,1.09831,0.121228,0.280592
3,2.6,300,1.10258,0.114124,0.275095
3,2.7,300,1.10627,0.107116,0.270221
3,2.8,300,1.10946,0.100246,0.265906
3,2.9,300,1.11221,0.0935448,0.262091
3,3,300,1.11459,0.0870356,0.258723
3,3.1,300,1.11665,0.0807334,0.255752
3,3.2,300,1.11843,0.0746486,0.253131
3,3.3,300,1.11997,0.0687867,0.250822
3,3.4,300,1.12131,0.0631498,0.24879
3,3.5,300,1.12249,0.0577371,0.247004
3,3.6,300,1.12352,0.0525457,0.245437
3,3.7,300,1.12443,0.0475706,0.244063
3,3.8,300,1.12523,0.042805,0.242865
3,3.9,300,1.12594,0.0382403,0.241824
3,4,300,1.12656,0.0338663,0.240928
3,4.1,300,1.1271,0.029671,0.240165
3,4.2,300,1.12757,0.0256406,0.239525
3,4.3,300,1.12794,0.0217594,0.239003
