x,y,T,u,v,p
4,0,301.989,-0.00356215,8.96E-05,0.515528
4,0.05,301.907,-0.00307772,0.000625382,0.515704
4,0.1,301.627,0.00171823,0.00266686,0.516078
4,0.15,301.203,0.0140376,0.00685186,0.516505
4,0.2,300.784,0.0336762,0.0136519,0.516995
4,0.25,300.457,0.0605098,0.0236057,0.51752
4,0.3,300.243,0.0944268,0.0372185,0.518009
4,0.35,300.121,0.135265,0.0549054,0.518336
4,0.4,300.058,0.182745,0.0769504,0.518303
4,0.45,300.026,0.236422,0.103463,0.517621
4,0.5,300.012,0.295652,0.134332,0.515895
4,0.55,300.005,0.359578,0.169192,0.512635
4,0.6,300.003,0.427154,0.207395,0.507267
4,0.65,300.001,0.497186,0.248012,0.499185
4,0.7,300,0.568392,0.289861,0.48781
4,0.75,300,0.639475,0.331553,0.472682
4,0.8,300,0.709184,0.371582,0.453552
4,0.85,300,0.776357,0.408429,0.430474
4,0.9,300,0.839954,0.440692,0.403859
4,0.95,300,0.899075,0.467227,0.374489
4,1,300,0.952977,0.487267,0.34344
4.05,0,303.661,-0.00406372,5.29E-05,0.51713
4.05,0.05,303.553,-0.00429889,0.000474083,0.517275
4.05,0.1,303.133,-0.00120798,0.00215707,0.517594
4.05,0.15,302.419,0.0088543,0.0057686,0.517984
4.05,0.2,301.653,0.0256647,0.0118549,0.518453
4.05,0.25,301.016,0.0491198,0.021015,0.518981
4.05,0.3,300.572,0.0791672,0.0338181,0.519508
4.05,0.35,300.301,0.115744,0.0507549,0.519921
4.05,0.4,300.151,0.158715,0.0722006,0.520031
4.05,0.45,300.074,0.207822,0.0983725,0.519548
4.05,0.5,300.035,0.262652,0.129285,0.518068
4.05,0.55,300.016,0.322618,0.164705,0.515063
4.05,0.6,300.008,0.386964,0.204112,0.509894
4.05,0.65,300.004,0.454787,0.246676,0.501854
4.05,0.7,300.002,0.525074,0.291257,0.490223
4.05,0.75,300.001,0.596738,0.336424,0.474377
4.05,0.8,300,0.668653,0.380518,0.453901
4.05,0.85,300,0.739663,0.421754,0.428727
4.05,0.9,300,0.808576,0.458367,0.399244
4.05,0.95,300,0.874175,0.488802,0.366346
4.05,1,300,0.93525,0.511918,0.33138
4.1,0,306.4,-0.00441364,2.15E-06,0.518651
4.1,0.05,306.273,-0.0052378,0.000281102,0.518758
4.1,0.1,305.703,-0.00361907,0.00153127,0.519015
4.1,0.15,304.594,0.00436037,0.0044693,0.519367
4.1,0.2,303.285,0.0184552,0.00973408,0.519817
4.1,0.25,302.13,0.03858,0.0179932,0.520351
4.1,0.3,301.271,0.0647347,0.0298835,0.52092
4.1,0.35,300.711,0.096944,0.0459732,0.521423
4.1,0.4,300.379,0.1352,0.0667289,0.521679
4.1,0.45,300.197,0.179415,0.0924775,0.521403
4.1,0.5,300.1,0.229391,0.123363,0.520179
4.1,0.55,300.05,0.284801,0.159298,0.517445
4.1,0.6,300.025,0.345193,0.199914,0.512496
4.1,0.65,300.013,0.409991,0.244515,0.504509
4.1,0.7,300.006,0.478519,0.292047,0.492603
4.1,0.75,300.003,0.550007,0.341076,0.475944
4.1,0.8,300.001,0.623581,0.389809,0.453893
4.1,0.85,300.001,0.698222,0.436166,0.426194
4.1,0.9,300,0.772699,0.477932,0.393164
4.1,0.95,300,0.845508,0.513002,0.355826
4.1,1,300,0.914881,0.539703,0.315896
4.15,0,310.677,-0.00456878,-6.69E-05,0.520081
4.15,0.05,310.541,-0.00582907,3.73E-05,0.520144
4.15,0.1,309.82,-0.00541689,0.000769778,0.520334
4.15,0.15,308.232,0.000668503,0.0029223,0.520648
4.15,0.2,306.179,0.0121648,0.00724352,0.521085
4.15,0.25,304.234,0.0290051,0.0144765,0.521632
4.15,0.3,302.684,0.0512377,0.0253302,0.522251
4.15,0.35,301.6,0.0789657,0.0404541,0.522848
4.15,0.4,300.913,0.112292,0.0604093,0.523255
4.15,0.45,300.506,0.15128,0.085636,0.52319
4.15,0.5,300.276,0.195926,0.116413,0.522229
4.15,0.55,300.148,0.246149,0.152814,0.519778
4.15,0.6,300.079,0.301793,0.194646,0.515064
4.15,0.65,300.042,0.362638,0.24139,0.507138
4.15,0.7,300.022,0.428406,0.292132,0.494932
4.15,0.75,300.012,0.498755,0.345497,0.477351
4.15,0.8,300.006,0.573227,0.399599,0.453447
4.15,0.85,300.004,0.651145,0.452048,0.422671
4.15,0.9,300.002,0.73142,0.500065,0.385177
4.15,0.95,300.001,0.812357,0.540779,0.342113
4.15,1,300,0.891555,0.571732,0.295713
4.2,0,317.099,-0.00447966,-0.000156081,0.521397
4.2,0.05,316.962,-0.00600133,-0.000258557,0.521414
4.2,0.1,316.102,-0.00649753,-0.000124375,0.521535
4.2,0.15,314.026,-0.00210082,0.00113613,0.521818
4.2,0.2,311.079,0.00692297,0.00439085,0.522253
4.2,0.25,308.031,0.020529,0.0104605,0.522825
4.2,0.3,305.427,0.0388097,0.0201287,0.523503
4.2,0.35,303.469,0.0619364,0.034132,0.524203
4.2,0.4,302.129,0.0901085,0.0531339,0.524764
4.2,0.45,301.272,0.123518,0.0776973,0.524909
4.2,0.5,300.746,0.162329,0.10825,0.52421
4.2,0.55,300.433,0.206684,0.145041,0.522044
4.2,0.6,300.25,0.256709,0.188085,0.517569
4.2,0.65,300.143,0.31254,0.237087,0.509708
4.2,0.7,300.081,0.374345,0.291346,0.497172
4.2,0.75,300.046,0.44232,0.349635,0.478542
4.2,0.8,300.026,0.516626,0.410055,0.452447
4.2,0.85,300.015,0.597211,0.46992,0.417879
4.2,0.9,300.008,0.683473,0.52576,0.374665
4.2,0.95,300.004,0.773748,0.573607,0.324008
4.2,1,300.002,0.864896,0.609743,0.26887
4.25,0,326.447,-0.00410145,-0.000261485,0.522564
4.25,0.05,326.306,-0.00569355,-0.000591142,0.522536
4.25,0.1,325.326,-0.006774,-0.00110526,0.522592
4.25,0.15,322.835,-0.00384025,-0.000807524,0.522858
4.25,0.2,318.977,0.00285931,0.00128092,0.523307
4.25,0.25,314.597,0.0133033,0.0060497,0.523924
4.25,0.3,310.563,0.0276204,0.0143542,0.524677
4.25,0.35,307.275,0.0460354,0.0270221,0.525489
4.25,0.4,304.833,0.0688244,0.0448319,0.526206
4.25,0.45,303.133,0.0962842,0.068488,0.526557
4.25,0.5,301.998,0.128722,0.0985916,0.526107
4.25,0.55,301.261,0.166465,0.135602,0.524212
4.25,0.6,300.79,0.209893,0.179786,0.519965
4.25,0.65,300.492,0.259483,0.231139,0.512153
4.25,0.7,300.304,0.315868,0.289271,0.499242
4.25,0.75,300.187,0.379875,0.353234,0.479413
4.25,0.8,300.114,0.4525,0.421263,0.450716
4.25,0.85,300.068,0.534711,0.490456,0.411427
4.25,0.9,300.04,0.626933,0.556499,0.360717
4.25,0.95,300.023,0.72818,0.613812,0.299666
4.25,1,300.013,0.83477,0.656614,0.232186
4.3,0,339.729,-0.00341293,-0.000368162,0.523531
4.3,0.05,339.569,-0.00488164,-0.000917358,0.523464
4.3,0.1,338.472,-0.00621076,-0.00205883,0.523472
4.3,0.15,335.667,-0.00448728,-0.00271324,0.523739
4.3,0.2,331.105,0.00008086,-0.00182889,0.524225
4.3,0.25,325.479,0.00749154,0.00152463,0.524909
4.3,0.3,319.795,0.0178914,0.00825609,0.525761
4.3,0.35,314.74,0.031533,0.0192778,0.526703
4.3,0.4,310.643,0.0487391,0.0354904,0.527581
4.3,0.45,307.523,0.0698776,0.0577634,0.528127
