x,y,T,u,v,p
4.25,0,300.025,0.00169133,0.000140816,0.777838
4.25,0.1,300.016,0.0491384,0.0135567,0.781387
4.25,0.2,300.009,0.129059,0.0641043,0.786912
4.25,0.3,300.007,0.191357,0.145022,0.788208
4.25,0.4,300.005,0.233298,0.244046,0.77809
4.25,0.5,300.005,0.26896,0.353342,0.75103
4.25,0.6,300.004,0.312576,0.469719,0.70221
4.25,0.7,300.003,0.376596,0.591093,0.625839
4.25,0.8,300.002,0.474149,0.711424,0.515264
4.25,0.9,300.001,0.617661,0.813211,0.368113
4.25,1,300,0.805076,0.862869,0.200543
4.25,1.1,300,0.99398,0.832433,0.0595385
4.25,1.2,300,1.12805,0.742873,-0.0111197
4.25,1.3,300,1.20799,0.642952,-0.0338131
4.25,1.4,300,1.25355,0.552985,-0.0375438
4.25,1.5,300,1.27792,0.475847,-0.0311387
4.25,1.6,300,1.28926,0.410936,-0.020054
4.25,1.7,300,1.29268,0.356517,-0.00726515
4.25,1.8,300,1.29127,0.310813,0.00581457
4.25,1.9,300,1.28698,0.272263,0.0184784
4.25,2,300,1.281,0.239565,0.0304061
4.25,2.1,300,1.27411,0.211661,0.0414694
4.25,2.2,300,1.26679,0.187704,0.0516473
4.25,2.3,300,1.25936,0.167013,0.0609643
4.25,2.4,300,1.25203,0.149042,0.0694732
4.25,2.5,300,1.24492,0.133347,0.0772341
4.25,2.6,300,1.23811,0.119568,0.0843053
4.25,2.7,300,1.23165,0.107411,0.0907492
4.25,2.8,300,1.22556,0.0966324,0.0966247
4.25,2.9,300,1.21985,0.0870298,0.101983
4.25,3,300,1.21453,0.0784359,0.106867
4.25,3.1,300,1.20958,0.0707095,0.11132
4.25,3.2,300,1.205,0.0637318,0.115383
4.25,3.3,300,1.20076,0.0574017,0.11909
4.25,3.4,300,1.19687,0.0516333,0.122471
4.25,3.5,300,1.1933,0.0463528,0.125552
4.25,3.6,300,1.19004,0.0414966,0.128356
4.25,3.7,300,1.18708,0.0370092,0.130904
4.25,3.8,300,1.1844,0.0328424,0.133217
4.25,3.9,300,1.18198,0.0289536,0.135312
4.25,4,300,1.17982,0.025305,0.137205
4.25,4.1,300,1.1779,0.0218628,0.138909
4.25,4.2,300,1.17622,0.0185964,0.140438
4.25,4.3,300,1.17475,0.0154783,0.141802
4.25,4.4,300,1.17343,0.012483,0.143013
4.25,4.5,300,1.17165,0.00958957,0.144077
4.25,4.6,300,1.16507,0.00679261,0.145
4.25,4.7,300,1.13155,0.00414781,0.145773
4.25,4.8,300,0.997658,0.00187131,0.146356
4.25,4.9,300,0.633922,0.000386951,0.146693
4.25,5,300,0.181149,-8.91E-07,0.146812
8,0,300,0.14758,-6.31622E-05,0.108823
8,0.1,300,0.509898,-0.0019876,0.108344
8,0.2,300,0.791737,-0.00872424,0.107265
8,0.3,300,0.889825,-0.0188279,0.105424
8,0.4,300,0.914128,-0.0301635,0.102907
8,0.5,300,0.921628,-0.0413861,0.0998602
8,0.6,300,0.927479,-0.0519501,0.096375
8,0.7,300,0.934059,-0.0616433,0.0925235
8,0.8,300,0.941486,-0.0703521,0.088378
8,0.9,300,0.949614,-0.0780044,0.0840129
8,1,300,0.958272,-0.0845608,0.0795029
8,1.1,300,0.967292,-0.0900114,0.0749207
8,1.2,300,0.976517,-0.0943732,0.0703353
8,1.3,300,0.985804,-0.097686,0.0658099
8,1.4,300,0.995026,-0.100007,0.0614009
8,1.5,300,1.00408,-0.101409,0.0571565
8,1.6,300,1.01286,-0.10197,0.0531157
8,1.7,300,1.02132,-0.101777,0.0493089
8,1.8,300,1.02939,-0.100915,0.0457575
8,1.9,300,1.03703,-0.0994711,0.0424748
8,2,300,1.04423,-0.0975259,0.0394668
8,2.1,300,1.05097,-0.095157,0.0367336
8,2.2,300,1.05725,-0.0924352,0.03427
8,2.3,300,1.06306,-0.089425,0.0320667
8,2.4,300,1.06843,-0.0861844,0.0301112
8,2.5,300,1.07337,-0.0827641,0.028389
8,2.6,300,1.0779,-0.0792089,0.0268837
8,2.7,300,1.08204,-0.075557,0.0255785
8,2.8,300,1.08581,-0.0718409,0.0244556
8,2.9,300,1.08923,-0.0680882,0.0234978
8,3,300,1.09235,-0.0643213,0.022688
8,3.1,300,1.09516,-0.0605587,0.0220094
8,3.2,300,1.09769,-0.0568151,0.0214457
8,3.3,300,1.09998,-0.0531016,0.0209814
8,3.4,300,1.10203,-0.0494268,0.0206018
8,3.5,300,1.10387,-0.0457966,0.020293
8,3.6,300,1.10551,-0.0422147,0.0200417
8,3.7,300,1.10696,-0.038683,0.0198359
8,3.8,300,1.10826,-0.0352017,0.0196645
8,3.9,300,1.10941,-0.0317696,0.019517
8,4,300,1.11042,-0.0283845,0.0193843
8,4.1,300,1.1113,-0.025043,0.0192578
8,4.2,300,1.11206,-0.0217412,0.0191299
8,4.3,300,1.1127,-0.0184742,0.0189939
8,4.4,300,1.11313,-0.0152369,0.0188438
8,4.5,300,1.11257,-0.0120258,0.0186746
8,4.6,300,1.10605,-0.00884709,0.0184833
8,4.7,300,1.07033,-0.0057523,0.0182739
8,4.8,300,0.934126,-0.00292809,0.0180645
8,4.9,300,0.581998,-0.000806039,0.0178802
8,5,300,0.161099,-5.47391E-05,0.017735
