x,y,z,T,u,v,w,p
0,0,0,300,0.9343,0.032265,0,1.1439
0.05,0,0,300,0.82716,0.079997,0,1.0192
0.1,0,0,300,0.7236,0.089174,0,0.80958
0.15,0,0,300,0.59693,0.072285,0,0.67769
0.2,0,0,300,0.48311,0.051808,0,0.60129
0.25,0,0,300,0.39937,0.034246,0,0.55204
0.3,0,0,300,0.34038,0.021422,0,0.51948
0.35,0,0,300,0.29812,0.013198,0,0.4986
0.4,0,0,300,0.2673,0.008376,0,0.4851
0.45,0,0,300,0.24434,0.0056734,0,0.47578
0.5,0,0,300,0.22668,0.004165,0,0.46881
0.55,0,0,300,0.2126,0.0032849,0,0.46328
0.6,0,0,300,0.20104,0.0027169,0,0.45877
0.65,0,0,300,0.19137,0.0022988,0,0.45507
0.7,0,0,300,0.18323,0.001955,0,0.45209
0.75,0,0,300,0.17635,0.0016538,0,0.44979
0.8,0,0,300,0.17058,0.0013844,0,0.4481
0.85,0,0,300,0.16577,0.0011445,0,0.44699
0.9,0,0,300,0.16179,0.0009353,0,0.44639
0.95,0,0,300,0.15852,0.00075798,0,0.44622
1,0,0,300,0.15585,0.00061262,0,0.44642
1.05,0,0,300,0.15367,0.00049781,0,0.44691
1.1,0,0,300,0.15186,0.00041078,0,0.44763
1.15,0,0,300,0.15035,0.00034786,0,0.44851
1.2,0,0,300,0.14905,0.00030494,0,0.44951
1.25,0,0,300,0.1479,0.00027798,0,0.4506
1.3,0,0,300,0.14686,0.00026326,0,0.45175
1.35,0,0,300,0.14588,0.0002576,0,0.45294
1.4,0,0,300,0.14493,0.00025839,0,0.45417
1.45,0,0,300,0.144,0.00026364,0,0.45543
1.5,0,0,300,0.14307,0.00027186,0,0.45674
1.55,0,0,300,0.14213,0.00028201,0,0.45809
1.6,0,0,300,0.14117,0.00029338,0,0.4595
1.65,0,0,300,0.14019,0.00030556,0,0.46097
1.7,0,0,300,0.13919,0.0003183,0,0.46251
1.75,0,0,300,0.13816,0.0003315,0,0.46413
1.8,0,0,300,0.1371,0.00034512,0,0.46584
1.85,0,0,300,0.136,0.0003592,0,0.46765
1.9,0,0,300,0.13487,0.00037378,0,0.46957
1.95,0,0,300,0.1337,0.00038894,0,0.47161
2,0,0,300,0.1325,0.00040474,0,0.47377
2.05,0,0,300,0.13125,0.00042126,0,0.47606
2.1,0,0,300,0.12995,0.00043857,0,0.4785
2.15,0,0,300,0.1286,0.00045676,0,0.48108
2.2,0,0,300,0.1272,0.00047587,0,0.48382
2.25,0,0,300,0.12575,0.00049599,0,0.48673
2.3,0,0,300,0.12424,0.00051717,0,0.48982
2.35,0,0,300,0.12266,0.00053945,0,0.49308
2.4,0,0,300,0.12102,0.00056288,0,0.49654
2.45,0,0,300,0.11931,0.0005875,0,0.5002
2.5,0,0,300,0.11752,0.00061332,0,0.50406
2.55,0,0,300,0.11566,0.00064037,0,0.50815
2.6,0,0,300,0.11371,0.00066866,0,0.51245
2.65,0,0,300,0.11167,0.00069819,0,0.517
2.7,0,0,300,0.10954,0.00072895,0,0.52179
2.75,0,0,300,0.10731,0.0007609,0,0.52683
2.8,0,0,300,0.10498,0.00079397,0,0.53213
2.85,0,0,300,0.10255,0.00082809,0,0.53771
2.9,0,0,300,0.099999,0.00086313,0,0.54356
2.95,0,0,300,0.097334,0.00089893,0,0.5497
3,0,0,300,0.09455,0.00093528,0,0.55613
3.05,0,0,300,0.091641,0.00097192,0,0.56286
3.1,0,0,300,0.088604,0.0010085,0,0.5699
3.15,0,0,300,0.085437,0.0010447,0,0.57725
3.2,0,0,300,0.082137,0.00108,0,0.58491
3.25,0,0,300,0.078704,0.0011138,0,0.59289
3.3,0,0,300,0.075138,0.0011454,0,0.60117
3.35,0,0,300,0.07144,0.0011741,0,0.60976
3.4,0,0,300,0.067615,0.0011989,0,0.61865
3.45,0,0,300,0.063668,0.0012188,0,0.62782
3.5,0,0,300,0.059608,0.0012326,0,0.63726
3.55,0,0,300,0.055448,0.0012389,0,0.64695
3.6,0,0,300,0.051202,0.0012364,0,0.65686
3.65,0,0,300,0.046889,0.0012235,0,0.66695
3.7,0,0,300,0.042534,0.0011985,0,0.67719
3.75,0,0,300,0.038164,0.0011597,0,0.68752
3.8,0,0,300,0.033812,0.0011056,0,0.69789
3.85,0,0,300,0.029516,0.0010348,0,0.70821
3.9,0,0,300,0.025318,0.0009461,0,0.71842
3.95,0,0,300,0.021263,0.00083951,0,0.72843
4,0,0,300,0.017397,0.00071656,0,0.73812
4.05,0,0,300,0.013758,0.00058185,0,0.74739
4.1,0,0,300,0.010377,0.00044483,0,0.75611
4.15,0,0,300,0.0072559,0.00032011,0,0.76416
4.2,0,0,300,0.0043708,0.00022132,0,0.77143
4.25,0,0,300.03,0.0016913,0.00014082,0,0.77784
4.3,0,0,300.18,-0.00072678,1.69E-05,0,0.78336
4.35,0,0,301.08,-0.0025846,-0.0002779,0,0.78799
4.4,0,0,305.08,-0.0032696,-0.00083312,0,0.79162
4.45,0,0,318.78,-0.002284,-0.0012833,0,0.7939
4.5,0,0,341.74,-0.0013438,-0.001388,0,0.79465
0,0.05,0,300,1,0,0,1.0256
0.05,0.05,0,300,0.92582,0.10889,0,0.93682
0.1,0.05,0,300,0.88481,0.13208,0,0.78045
0.15,0.05,0,300,0.81094,0.11938,0,0.67202
0.2,0.05,0,300,0.7279,0.097349,0,0.6044
0.25,0.05,0,300,0.65418,0.074793,0,0.55892
0.3,0.05,0,300,0.59255,0.055356,0,0.52738
0.35,0.05,0,300,0.54121,0.040478,0,0.50591
0.4,0.05,0,300,0.49859,0.029921,0,0.49122
0.45,0.05,0,300,0.46333,0.022691,0,0.48071
0.5,0.05,0,300,0.43406,0.017758,0,0.47274
0.55,0.05,0,300,0.40955,0.014311,0,0.46642
0.6,0.05,0,300,0.38887,0.011791,0,0.46129
0.65,0.05,0,300,0.37129,0.0098429,0,0.45712
0.7,0.05,0,300,0.35633,0.0082561,0,0.45376
0.75,0.05,0,300,0.34362,0.006915,0,0.45115
0.8,0.05,0,300,0.33285,0.0057601,0,0.44921
0.85,0.05,0,300,0.3238,0.0047635,0,0.44789
0.9,0.05,0,300,0.31624,0.003912,0,0.44712
0.95,0.05,0,300,0.30995,0.0031983,0,0.44682
1,0.05,0,300,0.30475,0.0026145,0,0.44691
1.05,0.05,0,300,0.30044,0.0021502,0,0.44732
1.1,0.05,0,300,0.29684,0.0017923,0,0.44798
1.15,0.05,0,300,0.2938,0.0015257,0,0.44881
1.2,0.05,0,300,0.29118,0.0013345,0,0.44978
1.25,0.05,0,300,0.28887,0.0012037,0,0.45085
1.3,0.05,0,300,0.28679,0.0011194,0,0.45198
1.35,0.05,0,300,0.28485,0.00107,0,0.45316
1.4,0.05,0,300,0.28302,0.0010462,0,0.45438
1.45,0.05,0,300,0.28124,0.0010406,0,0.45564
1.5,0.05,0,300,0.27949,0.0010477,0,0.45695
1.55,0.05,0,300,0.27775,0.0010638,0,0.4583
1.6,0.05,0,300,0.276,0.0010862,0,0.4597
1.65,0.05,0,300,0.27424,0.0011131,0,0.46117
1.7,0.05,0,300,0.27245,0.0011436,0,0.46271
1.75,0.05,0,300,0.27063,0.001177,0,0.46434
1.8,0.05,0,300,0.26876,0.0012132,0,0.46605
1.85,0.05,0,300,0.26685,0.0012519,0,0.46787
1.9,0.05,0,300,0.26489,0.0012934,0,0.46979
1.95,0.05,0,300,0.26287,0.0013377,0,0.47183
2,0.05,0,300,0.2608,0.0013849,0,0.474
2.05,0.05,0,300,0.25865,0.0014352,0,0.4763
2.1,0.05,0,300,0.25644,0.0014889,0,0.47874
2.15,0.05,0,300,0.25414,0.001546,0,0.48133
2.2,0.05,0,300,0.25177,0.0016069,0,0.48409
2.25,0.05,0,300,0.2493,0.0016717,0,0.487
2.3,0.05,0,300,0.24673,0.0017406,0,0.4901
2.35,0.05,0,300,0.24407,0.0018138,0,0.49338
2.4,0.05,0,300,0.24129,0.0018916,0,0.49685
2.45,0.05,0,300,0.23839,0.001974,0,0.50052
2.5,0.05,0,300,0.23537,0.0020612,0,0.5044
2.55,0.05,0,300,0.23222,0.0021534,0,0.50849
2.6,0.05,0,300,0.22892,0.0022507,0,0.51282
2.65,0.05,0,300,0.22547,0.0023533,0,0.51738
2.7,0.05,0,300,0.22186,0.0024613,0,0.52219
2.75,0.05,0,300,0.21808,0.0025746,0,0.52725
2.8,0.05,0,300,0.21413,0.0026935,0,0.53257
2.85,0.05,0,300,0.20998,0.0028177,0,0.53817
2.9,0.05,0,300,0.20564,0.0029472,0,0.54405
2.95,0.05,0,300,0.20109,0.0030817,0,0.55021
3,0.05,0,300,0.19632,0.003221,0,0.55667
3.05,0.05,0,300,0.19133,0.0033645,0,0.56343
3.1,0.05,0,300,0.1861,0.0035116,0,0.5705
3.15,0.05,0,300,0.18063,0.0036616,0,0.57788
