x,y,z,T,u,v,w,p
0,0,0,300,0.934299,0.0322844,0,1.10449
0.1,0,0,300,0.723302,0.0893164,0,0.770313
0.2,0,0,300,0.482044,0.0520296,0,0.562523
0.3,0,0,300,0.338325,0.0216567,0,0.481445
0.4,0,0,300,0.264098,0.00861689,0,0.447939
0.5,0,0,300,0.222102,0.00442442,0,0.432521
0.6,0,0,300,0.194717,0.00302698,0,0.423118
0.7,0,0,300,0.174527,0.00236939,0,0.416537
0.8,0,0,300,0.158567,0.0019453,0,0.411824
0.9,0,0,300,0.145415,0.00164072,0,0.408519
1,0,0,300,0.134252,0.00141557,0,0.406332
1.1,0,0,300,0.124546,0.00124616,0,0.405062
1.2,0,0,300,0.11594,0.00111643,0,0.404566
1.3,0,0,300,0.10818,0.00101543,0,0.404745
1.4,0,0,300,0.101081,0.000935671,0,0.405521
1.5,0,0,300,0.0945071,0.000871887,0,0.406838
1.6,0,0,300,0.0883518,0.000820262,0,0.408651
1.7,0,0,300,0.0825355,0.000777965,0,0.410921
1.8,0,0,300,0.0769954,0.000742829,0,0.413617
1.9,0,0,300,0.0716826,0.000713146,0,0.416712
2,0,0,300,0.0665596,0.000687537,0,0.420177
2.1,0,0,300,0.061597,0.000664855,0,0.423987
2.2,0,0,300,0.056774,0.000644131,0,0.428117
2.3,0,0,300,0.0520755,0.000624524,0,0.432537
2.4,0,0,300,0.0474925,0.000605302,0,0.43722
2.5,0,0,300,0.043021,0.000585822,0,0.442132
2.6,0,0,300,0.0386617,0.000565522,0,0.44724
2.7,0,0,300,0.0344191,0.000543923,0,0.452506
2.8,0,0,300,0.0303019,0.000520631,0,0.457891
2.9,0,0,300,0.0263216,0.000495336,0,0.463353
3,0,0,300,0.0224927,0.000467828,0,0.468844
3.1,0,0,300,0.0188316,0.000437993,0,0.47432
3.2,0,0,300,0.0153567,0.000405818,0,0.479733
3.3,0,0,300,0.0120867,0.000371375,0,0.485034
3.4,0,0,300,0.00904123,0.000334819,0,0.490177
3.5,0,0,300,0.00623937,0.000296393,0,0.495116
3.6,0,0,300.002,0.00369906,0.000256625,0,0.49981
3.7,0,0,300.015,0.00143501,0.000216647,0,0.50422
3.8,0,0,300.098,-0.000543066,0.000177902,0,0.508317
3.9,0,0,300.495,-0.0022238,0.0001392,0,0.512085
4,0,0,301.989,-0.00356215,8.96E-05,0,0.515528
4.1,0,0,306.4,-0.00441364,2.15E-06,0,0.518651
4.2,0,0,317.099,-0.00447966,-0.000156081,0,0.521397
4.3,0,0,339.729,-0.00341293,-0.000368162,0,0.523531
4.4,0,0,383.69,-0.00134482,-0.00042729,0,0.52461
4.5,0,0,449.941,-6.59E-05,-6.31E-05,0,0.524543
0.05,0.05,0,300,0.925741,0.109036,0,0.897331
0.15,0.05,0,300,0.810286,0.119789,0,0.632906
0.25,0.05,0,300,0.652366,0.0753722,0,0.520481
0.35,0.05,0,300,0.537701,0.0411808,0,0.468365
0.45,0.05,0,300,0.457595,0.0235459,0,0.444135
0.55,0.05,0,300,0.400926,0.0154041,0,0.430721
0.65,0.05,0,300,0.358792,0.0113235,0,0.421951
0.75,0.05,0,300,0.325805,0.00893378,0,0.415832
0.85,0.05,0,300,0.298901,0.00735849,0,0.411526
0.95,0.05,0,300,0.276258,0.00624861,0,0.408576
1.05,0.05,0,300,0.256717,0.00543497,0,0.4067
1.15,0.05,0,300,0.239501,0.00482178,0,0.405705
1.25,0.05,0,300,0.224068,0.00434988,0,0.40546
1.35,0.05,0,300,0.210023,0.00398075,0,0.40587
1.45,0.05,0,300,0.197076,0.00368827,0,0.406863
1.55,0.05,0,300,0.185004,0.00345406,0,0.408386
1.65,0.05,0,300,0.173635,0.00326478,0,0.410394
1.75,0.05,0,300,0.162835,0.00311042,0,0.412849
1.85,0.05,0,300,0.152498,0.00298328,0,0.415723
1.95,0.05,0,300,0.142541,0.00287722,0,0.418986
2.05,0.05,0,300,0.132898,0.00278722,0,0.42261
2.15,0.05,0,300,0.12352,0.00270906,0,0.426569
2.25,0.05,0,300,0.114368,0.00263912,0,0.430836
2.35,0.05,0,300,0.105418,0.00257419,0,0.435381
2.45,0.05,0,300,0.0966524,0.00251141,0,0.440173
2.55,0.05,0,300,0.0880656,0.00244822,0,0.445179
2.65,0.05,0,300,0.0796592,0.00238229,0,0.450361
2.75,0.05,0,300,0.0714431,0.00231156,0,0.455682
2.85,0.05,0,300,0.0634345,0.00223424,0,0.461099
2.95,0.05,0,300,0.0556565,0.0021488,0,0.466568
3.05,0.05,0,300,0.0481384,0.00205406,0,0.472043
3.15,0.05,0,300,0.0409135,0.00194915,0,0.477477
3.25,0.05,0,300,0.0340192,0.00183358,0,0.48282
3.35,0.05,0,300,0.0274953,0.00170716,0,0.488026
3.45,0.05,0,300,0.0213827,0.00157004,0,0.493048
3.55,0.05,0,300,0.0157227,0.00142293,0,0.497842
3.65,0.05,0,300.005,0.0105545,0.00126759,0,0.502369
3.75,0.05,0,300.035,0.00591296,0.0011067,0,0.506593
3.85,0.05,0,300.207,0.00183207,0.000939247,0,0.51049
3.95,0.05,0,300.965,-0.00162623,0.000746612,0,0.51405
4.05,0.05,0,303.553,-0.00429889,0.000474083,0,0.517275
4.15,0.05,0,310.541,-0.00582907,3.73E-05,0,0.520144
4.25,0.05,0,326.306,-0.00569355,-0.000591142,0,0.522536
4.35,0.05,0,358.046,-0.00361628,-0.0011524,0,0.524145
4.45,0.05,0,417.484,-0.000792342,-0.000772112,0,0.524539
0,0.1,0,300,1,0,0,0.803094
0.1,0.1,0,300,1.05768,0.161083,0,0.689593
0.2,0.1,0,300,1.0398,0.153283,0,0.568947
0.3,0.1,0,300,0.958201,0.113778,0,0.501535
0.4,0.1,0,300,0.865458,0.0787852,0,0.464153
0.5,0.1,0,300,0.780858,0.0558766,0,0.443457
0.6,0.1,0,300,0.709552,0.0417478,0,0.430743
0.7,0.1,0,300,0.650195,0.0327662,0,0.422259
0.8,0.1,0,300,0.600256,0.02675,0,0.416378
0.9,0.1,0,300,0.557522,0.0225262,0,0.412297
1,0.1,0,300,0.520306,0.019449,0,0.409559
1.1,0.1,0,300,0.48736,0.0171421,0,0.407883
1.2,0.1,0,300,0.457755,0.0153742,0,0.40708
1.3,0.1,0,300,0.430793,0.0139962,0,0.407021
1.4,0.1,0,300,0.405937,0.0129081,0,0.407612
1.5,0.1,0,300,0.382773,0.0120403,0,0.408782
1.6,0.1,0,300,0.360974,0.0113427,0,0.410478
1.7,0.1,0,300,0.340278,0.0107784,0,0.412655
1.8,0.1,0,300,0.320477,0.0103189,0,0.415276
1.9,0.1,0,300,0.301403,0.00994212,0,0.41831
2,0.1,0,300,0.282919,0.00963004,0,0.421728
2.1,0.1,0,300,0.26492,0.00936774,0,0.425499
2.2,0.1,0,300,0.247321,0.0091423,0,0.429597
2.3,0.1,0,300,0.230058,0.00894252,0,0.433991
2.4,0.1,0,300,0.213088,0.0087583,0,0.438651
2.5,0.1,0,300,0.196386,0.00858036,0,0.443543
2.6,0.1,0,300,0.17994,0.00840022,0,0.448632
2.7,0.1,0,300,0.163758,0.00821006,0,0.453878
2.8,0.1,0,300,0.147858,0.00800276,0,0.459241
2.9,0.1,0,300,0.132276,0.00777192,0,0.464676
3,0.1,0,300,0.117059,0.00751196,0,0.470138
3.1,0.1,0,300,0.102267,0.00721834,0,0.475578
3.2,0.1,0,300,0.0879693,0.00688743,0,0.480949
3.3,0.1,0,300,0.0742429,0.00651684,0,0.486201
3.4,0.1,0,300,0.0611723,0.00610514,0,0.491287
3.5,0.1,0,300,0.0488462,0.00565231,0,0.496161
3.6,0.1,0,300.001,0.0373553,0.00516029,0,0.500782
3.7,0.1,0,300.009,0.026789,0.00463343,0,0.505111
3.8,0.1,0,300.065,0.017237,0.00407242,0,0.509115
3.9,0.1,0,300.365,0.00881135,0.00345004,0,0.512775
4,0.1,0,301.627,0.00171823,0.00266686,0,0.516078
4.1,0.1,0,305.703,-0.00361907,0.00153127,0,0.519015
4.2,0.1,0,316.102,-0.00649753,-0.000124375,0,0.521535
4.3,0.1,0,338.472,-0.00621076,-0.00205883,0,0.523472
4.4,0.1,0,382.03,-0.00300511,-0.00292859,0,0.524517
4.5,0.1,0,460.414,0,0,0,0.524475
0.05,0.15,0,300,1.02077,0.0779618,0,0.687151
0.15,0.15,0,300,1.09035,0.147756,0,0.605219
0.25,0.15,0,300,1.11237,0.150174,0,0.533411
0.35,0.15,0,300,1.08751,0.129366,0,0.486593
0.45,0.15,0,300,1.03743,0.105125,0,0.458151
0.55,0.15,0,300,0.978416,0.0848078,0,0.440751
0.65,0.15,0,300,0.919363,0.06933,0,0.429376
0.75,0.15,0,300,0.863808,0.057822,0,0.421594
0.85,0.15,0,300,0.812762,0.0492333,0,0.416177
0.95,0.15,0,300,0.766165,0.0427387,0,0.41245
1.05,0.15,0,300,0.723573,0.0377541,0,0.410009
1.15,0.15,0,300,0.684439,0.0338747,0,0.408593
1.25,0.15,0,300,0.64823,0.0308193,0,0.408028
1.35,0.15,0,300,0.61447,0.0283897,0,0.408189
0,0,0,300,1,0,0,1.10449
0,0.1,0,300,1,0,0,0.803094
0,0.2,0,300,1,0,0,0.643641
0,0.3,0,300,1,0,0,0.572198
0,0.4,0,300,1,0,0,0.529669
0,0.5,0,300,1,0,0,0.500747
0,0.6,0,300,1,0,0,0.479286
0,0.7,0,300,1,0,0,0.462381
0,0.8,0,300,1,0,0,0.448466
0,0.9,0,300,1,0,0,0.436623
0,1,0,300,1,0,0,0.426279
0,0.05,1,300,1,0,0,0.986088
0,0.15,1,300,1,0,0,0.702942
0,0.25,1,300,1,0,0,0.602632
0,0.35,1,300,1,0,0,0.548612
0,0.45,1,300,1,0,0,0.514005
0,0.55,1,300,1,0,0,0.48931
0,0.65,1,300,1,0,0,0.470383
0,0.75,1,300,1,0,0,0.455118
0,0.85,1,300,1,0,0,0.442327
0,0.95,1,300,1,0,0,0.43129
0,1.05,0,300,1,0,0,0.421548
0,1.15,0,300,1,0,0,0.412793
0,1.25,0,300,1,0,0,0.404815
0,1.35,0,300,1,0,0,0.397468
0,1.45,0,300,1,0,0,0.390646
0,1.55,0,300,1,0,0,0.384271
0,1.65,0,300,1,0,0,0.378292
0,1.75,0,300,1,0,0,0.372667
0,1.85,0,300,1,0,0,0.367369
0,1.95,0,300,1,0,0,0.362378
0,2.05,0,300,1,0,0,0.357682
0,2.15,0,300,1,0,0,0.353274
0,2.25,0,300,1,0,0,0.349151
0,2.35,0,300,1,0,0,0.345312
0,2.45,0,300,1,0,0,0.341763
0,2.55,0,300,1,0,0,0.338509
0,2.65,0,300,1,0,0,0.335559
0,2.75,0,300,1,0,0,0.332925
0,2.85,0,300,1,0,0,0.33062
0,2.95,0,300,1,0,0,0.328665
0,3.05,0,300,1,0,0,0.327078
0,3.15,0,300,1,0,0,0.325886
0,3.25,0,300,1,0,0,0.32512
0,3.35,0,300,1,0,0,0.324817
0,3.45,0,300,1,0,0,0.325024
0,3.55,0,300,1,0,0,0.3258
0,3.65,0,300,1,0,0,0.327217
0,3.75,0,300,1,0,0,0.32937
0,3.85,0,300,1,0,0,0.332383
