x,y,T,u,v,p
0.05,0,300,0.827078,0.0800727,0.979829
0.05,0.05,300,0.925741,0.109036,0.897331
0.05,0.05,300,0.925741,0.109036,0.897331
0.05,0,300,0.827078,0.0800727,0.979829
0,0,300,0.934299,0.0322844,1.10449
0,0.05,300,1,0,0.986088
0,0.05,300,1,0,0.986088
0,0,300,0.934299,0.0322844,1.10449
0.1,0,300,0.723302,0.0893164,0.770313
0.1,0.05,300,0.884529,0.132365,0.741104
0.1,0.05,300,0.884529,0.132365,0.741104
0.1,0,300,0.723302,0.0893164,0.770313
0.15,0,300,0.596287,0.0724785,0.638642
0.15,0.05,300,0.810286,0.119789,0.632906
0.15,0.05,300,0.810286,0.119789,0.632906
0.15,0,300,0.596287,0.0724785,0.638642
0.2,0,300,0.482044,0.0520296,0.562523
0.2,0.05,300,0.726731,0.0978548,0.565589
0.2,0.05,300,0.726731,0.0978548,0.565589
0.2,0,300,0.482044,0.0520296,0.562523
0.25,0,300,0.397829,0.0344779,0.513614
0.25,0.05,300,0.652366,0.0753722,0.520481
0.25,0.05,300,0.652366,0.0753722,0.520481
0.25,0,300,0.397829,0.0344779,0.513614
0.3,0,300,0.338325,0.0216567,0.481445
0.3,0.05,300,0.589948,0.0559971,0.489368
0.3,0.05,300,0.589948,0.0559971,0.489368
0.3,0,300,0.338325,0.0216567,0.481445
0.35,0,300,0.295512,0.013435,0.460998
0.35,0.05,300,0.537701,0.0411808,0.468365
0.35,0.05,300,0.537701,0.0411808,0.468365
0.35,0,300,0.295512,0.013435,0.460998
0.4,0,300,0.264098,0.00861689,0.447939
0.4,0.05,300,0.494042,0.0306922,0.454163
0.4,0.05,300,0.494042,0.0306922,0.454163
0.4,0,300,0.264098,0.00861689,0.447939
0.45,0,300,0.240488,0.00592116,0.439066
0.45,0.05,300,0.457595,0.0235459,0.444135
0.45,0.05,300,0.457595,0.0235459,0.444135
0.45,0,300,0.240488,0.00592116,0.439066
0.5,0,300,0.222102,0.00442442,0.432521
0.5,0.05,300,0.426973,0.0187168,0.436625
0.5,0.05,300,0.426973,0.0187168,0.436625
0.5,0,300,0.222102,0.00442442,0.432521
0.55,0,300,0.207208,0.00356385,0.42736
0.55,0.05,300,0.400926,0.0154041,0.430721
0.55,0.05,300,0.400926,0.0154041,0.430721
0.55,0,300,0.207208,0.00356385,0.42736
0.6,0,300,0.194717,0.00302698,0.423118
0.6,0.05,300,0.378451,0.0130567,0.425924
0.6,0.05,300,0.378451,0.0130567,0.425924
0.6,0,300,0.194717,0.00302698,0.423118
0.65,0,300,0.183964,0.00265406,0.419555
0.65,0.05,300,0.358792,0.0113235,0.421951
0.65,0.05,300,0.358792,0.0113235,0.421951
0.65,0,300,0.183964,0.00265406,0.419555
0.7,0,300,0.174527,0.00236939,0.416537
0.7,0.05,300,0.341385,0.0099916,0.418626
0.7,0.05,300,0.341385,0.0099916,0.418626
0.7,0,300,0.174527,0.00236939,0.416537
0.75,0,300,0.166127,0.00213852,0.413981
0.75,0.05,300,0.325805,0.00893378,0.415832
0.75,0.05,300,0.325805,0.00893378,0.415832
0.75,0,300,0.166127,0.00213852,0.413981
0.8,0,300,0.158567,0.0019453,0.411824
0.8,0.05,300,0.311727,0.00807255,0.413486
0.8,0.05,300,0.311727,0.00807255,0.413486
0.8,0,300,0.158567,0.0019453,0.411824
0.85,0,300,0.1517,0.00178118,0.410016
0.85,0.05,300,0.298901,0.00735849,0.411526
0.85,0.05,300,0.298901,0.00735849,0.411526
0.85,0,300,0.1517,0.00178118,0.410016
0.9,0,300,0.145415,0.00164072,0.408519
0.9,0.05,300,0.287131,0.00675836,0.409902
0.9,0.05,300,0.287131,0.00675836,0.409902
0.9,0,300,0.145415,0.00164072,0.408519
0.95,0,300,0.139623,0.00151991,0.4073
0.95,0.05,300,0.276258,0.00624861,0.408576
0.95,0.05,300,0.276258,0.00624861,0.408576
0.95,0,300,0.139623,0.00151991,0.4073
1,0,300,0.134252,0.00141557,0.406332
1,0.05,300,0.266155,0.00581188,0.407517
1,0.05,300,0.266155,0.00581188,0.407517
1,0,300,0.134252,0.00141557,0.406332
1.05,0,300,0.129242,0.00132505,0.405593
1.05,0.05,300,0.256717,0.00543497,0.4067
1.05,0.05,300,0.256717,0.00543497,0.4067
1.05,0,300,0.129242,0.00132505,0.405593
1.1,0,300,0.124546,0.00124616,0.405062
1.1,0.05,300,0.247856,0.00510764,0.406101
1.1,0.05,300,0.247856,0.00510764,0.406101
1.1,0,300,0.124546,0.00124616,0.405062
1.15,0,300,0.120124,0.00117712,0.404724
1.15,0.05,300,0.239501,0.00482178,0.405705
1.15,0.05,300,0.239501,0.00482178,0.405705
1.15,0,300,0.120124,0.00117712,0.404724
1.2,0,300,0.11594,0.00111643,0.404566
1.2,0.05,300,0.231589,0.00457094,0.405495
1.2,0.05,300,0.231589,0.00457094,0.405495
1.2,0,300,0.11594,0.00111643,0.404566
1.25,0,300,0.111967,0.00106287,0.404576
1.25,0.05,300,0.224068,0.00434988,0.40546
1.25,0.05,300,0.224068,0.00434988,0.40546
1.25,0,300,0.111967,0.00106287,0.404576
1.3,0,300,0.10818,0.00101543,0.404745
1.3,0.05,300,0.216892,0.00415433,0.405588
1.3,0.05,300,0.216892,0.00415433,0.405588
1.3,0,300,0.10818,0.00101543,0.404745
1.35,0,300,0.104557,0.000973263,0.405062
1.35,0.05,300,0.210023,0.00398075,0.40587
1.35,0.05,300,0.210023,0.00398075,0.40587
1.35,0,300,0.104557,0.000973263,0.405062
1.4,0,300,0.101081,0.000935671,0.405521
1.4,0.05,300,0.203428,0.00382622,0.406298
1.4,0.05,300,0.203428,0.00382622,0.406298
1.4,0,300,0.101081,0.000935671,0.405521
1.45,0,300,0.097736,0.000902048,0.406115
1.45,0.05,300,0.197076,0.00368827,0.406863
1.45,0.05,300,0.197076,0.00368827,0.406863
1.45,0,300,0.097736,0.000902048,0.406115
1.5,0,300,0.0945071,0.000871887,0.406838
1.5,0.05,300,0.190943,0.00356481,0.407561
1.5,0.05,300,0.190943,0.00356481,0.407561
1.5,0,300,0.0945071,0.000871887,0.406838
1.55,0,300,0.0913825,0.00084475,0.407685
1.55,0.05,300,0.185004,0.00345406,0.408386
1.55,0.05,300,0.185004,0.00345406,0.408386
1.55,0,300,0.0913825,0.00084475,0.407685
1.6,0,300,0.0883518,0.000820262,0.408651
1.6,0.05,300,0.179241,0.00335449,0.409332
1.6,0.05,300,0.179241,0.00335449,0.409332
1.6,0,300,0.0883518,0.000820262,0.408651
1.65,0,300,0.0854056,0.000798096,0.409731
