x,y,z,u,v,T,p
8.73165,0.380194,0.5,-0.33087,-0.106879,303.741,-0.529781
8.0268,3.16186,0.5,1.41568,-0.142825,300,-0.173382
3.2801,0.672645,0.5,0.922173,0.22373,300,0.455336
8.94463,3.8704,0.5,1.32694,-0.151339,300,-0.0659322
2.98271,0.688123,0.5,1.00644,0.19946,300,0.437491
6.1762,3.98063,0.5,1.37016,-0.0205245,300,-0.0923894
2.0107,1.70958,0.5,1.04103,0.110491,300,0.333981
2.86271,2.61953,0.5,1.10747,0.119215,300,0.221571
1.78002,3.38507,0.5,1.0592,0.0245559,300,0.264531
3.39151,1.56204,0.5,1.10389,0.271508,300,0.265586
2.70468,4.1026,0.5,1.16033,0.00669528,300,0.182474
9.79868,3.25515,0.5,1.26856,-0.206783,300,-0.0194768
2.09774,2.12298,0.5,1.04945,0.100943,300,0.303753
8.74018,4.95895,0.5,0.0614823,-0.000860752,300,-0.0528953
0.0755602,2.93113,0.5,1.0001,0.00139333,300,0.32892
0.518316,3.89863,0.5,1.01347,-0.0167244,300,0.321294
5.79274,4.94975,0.5,0.190627,-0.000729655,300,-0.0458536
6.49423,1.66278,0.5,1.55804,0.0363679,300.638,-0.394164
0.389378,2.19681,0.5,1.00213,0.0161128,300,0.349281
1.24917,3.95263,0.5,1.05691,-0.0185581,300,0.280648
8.08816,1.35242,0.5,1.27228,-0.224701,304.901,-0.661615
1.72654,2.95232,0.5,1.04601,0.0444688,300,0.28181
2.37525,0.607162,0.5,1.06293,0.1421,300,0.419816
7.64857,2.63964,0.5,1.50063,-0.12433,300,-0.262677
9.16196,4.08151,0.5,1.26049,-0.136084,300,-0.0457792
9.79448,3.50385,0.5,1.27399,-0.185408,300,-0.016954
1.01674,1.58009,0.5,1.01545,0.0573975,300,0.36746
3.533,1.42428,0.5,1.10378,0.314412,300,0.272201
1.63388,4.52956,0.5,1.16153,-0.0446968,300,0.240191
2.22232,2.57659,0.5,1.06403,0.0858006,300,0.271303
6.29065,0.848061,0.5,-0.0716053,0.0391234,301.69,-0.444465
7.05081,1.48221,0.5,1.27604,0.00928113,303.418,-0.483146
9.86595,4.95582,0.5,0.0311822,-0.000961203,300,-0.00731996
8.13316,3.25915,0.5,1.40172,-0.1464,300,-0.157563
3.55824,1.89838,0.5,1.15249,0.255824,300,0.190009
3.1108,0.974099,0.5,1.05224,0.242942,300,0.39367
2.28986,2.17565,0.5,1.05935,0.11097,300,0.290697
5.69512,3.75727,0.5,1.35193,0.0106351,300,-0.0794496
7.35461,1.6979,0.5,1.62586,-0.0617432,300.533,-0.493023
6.79132,3.4348,0.5,1.40644,-0.0417243,300,-0.155661
1.76864,3.23315,0.5,1.05426,0.0321056,300,0.269929
0.382496,0.945363,0.5,1.00859,0.0370618,300,0.423745
