x,y,T,u,v,p
2.29548,0.295314,300,0.719984,0.0644106,0.433815
1.02756,3.08671,300,1.01941,0.0172653,0.307364
2.4612,3.88597,300,1.12422,0.0146473,0.20581
0.380077,4.52815,300,1.04805,-0.0653903,0.35839
3.44211,0.890434,300,1.01165,0.297699,0.415391
9.31544,1.59361,300.066,1.40093,-0.505665,-0.212363
9.3957,3.32048,300,1.30557,-0.200388,-0.0556941
9.61453,0.523992,302.797,0.478758,-0.412657,-0.11499
0.195239,4.49873,300,1.01378,-0.0390957,0.38254
5.63718,0.0419807,364.24,0.00309562,-0.00146537,-0.466411
0.253455,1.28622,300,1.00185,0.018596,0.400406
0.781054,1.88515,300,1.00848,0.0387126,0.357333
8.81,3.03309,300,1.37026,-0.208034,-0.129303
3.46363,2.19149,300,1.15434,0.205437,0.178913
1.94581,4.95802,300,0.184567,-0.00078815,0.212098
0.58152,3.70651,300,1.01228,-0.00950536,0.316488
0.755922,3.38279,300,1.01377,0.0024074,0.311374
0.415061,0.10497,300,0.873696,0.0788154,0.461188
5.72853,4.02197,300,1.35274,-0.00364252,-0.066717
6.79405,1.24154,308.594,0.592953,0.0510932,-0.437083
3.46825,2.08802,300,1.15059,0.219229,0.186626
8.10101,4.93864,300,0.128101,-0.0020301,-0.0715097
7.32725,2.03658,300.008,1.6283,-0.0764663,-0.391806
7.56995,1.63706,300.912,1.59952,-0.106956,-0.540457
1.23163,3.4064,300,1.03302,0.00919328,0.291941
6.42165,1.34796,307.273,0.876361,0.004195,-0.413247
2.90069,1.18033,300,1.05626,0.210021,0.361453
5.80552,4.19089,300,1.35223,-0.0130862,-0.0629936
0.265206,3.54564,300,1.00223,-0.00259447,0.323695
5.05182,3.24119,300,1.33092,0.0759158,-0.0569672
4.33128,3.05106,300,1.26585,0.118064,0.0257495
4.43432,3.76902,300,1.26543,0.0476872,0.0313013
6.34284,4.99426,300,0.0202492,-0.000112926,-0.0683968
6.10883,0.741453,301.392,-0.0920203,0.00048974,-0.460199
5.74778,1.73178,300.18,1.61223,0.123885,-0.378108
6.10484,4.37832,300,1.30964,-0.0256522,-0.0691577
5.78069,2.62255,300,1.45386,0.0732671,-0.198152
5.5753,2.90581,300,1.40341,0.0711046,-0.142649
0.87223,1.25669,300,1.01724,0.0580479,0.387904
1.79344,3.04987,300,1.05121,0.0421967,0.27484
3.06888,2.57668,300,1.12388,0.135192,0.203846
1.56389,2.57401,300,1.03334,0.0542996,0.304125
6.60981,3.60314,300,1.39218,-0.0330066,-0.135691
4.58901,4.68927,300,0.962722,-0.000625153,0.0306101
0.667735,2.77078,300,1.00724,0.0168224,0.325378
7.67135,2.0628,300.004,1.62601,-0.141891,-0.394834
7.33387,0.725199,303.211,-0.0654752,0.227173,-0.643086
9.22063,1.32614,300.748,1.35918,-0.56577,-0.298866
9.81729,2.85447,300,1.26244,-0.249249,-0.0228589
